x,y
994402,1815691
994162,1812861
991460,1814575
990560,1814277
992145,1813903
992572,1813975
990768,1815302
990402,1815676
990072,1816027
988792,1816608
988931,1816825
991183,1816827
988843,1817021
989097,1817122
991166,1816375
989236,1816372
989172,1817612
991131,1817791
987445,1817936
989200,1818618
989175,1818042
990585,1817807
987793,1817880
988212,1817827
987798,1817436
988250,1817293
986366,1817192
985779,1817395
984156,1811281
984066,1811414
984905,1817824
985497,1818541
982530,1818123
989777,1825658
990287,1826532
983132,1822077
983691,1821083
984171,1818851
992440,1816782
991903,1817308
995054,1817585
991521,1817732
993619,1819260
992783,1824925
991433,1827472
993607,1828172
993650,1828010
993694,1827757
991921,1827840
992795,1827907
992037,1820006
993902,1817992
993373,1817947
992406,1817921
991806,1817825
1163190,1729966
1163737,1730457
1160947,1730310
1166393,1731348
1167289,1730955
1165663,1730719
1163954,1730116
1163661,1730227
1166921,1733050
1167071,1731838
1167279,1731919
1165723,1728386
1163912,1727748
1165397,1729232
1159822,1729621
1165546,1728828
1173705,1723091
1174847,1724033
1174904,1724355
1174965,1724659
1174577,1724741
1175078,1725749
1175272,1727155
1174691,1728709
1174992,1724875
1172108,1726691
1168658,1730582
1168393,1729727
1167441,1738051
1167982,1740064
1167485,1738998
1167628,1738573
1167309,1738653
1168264,1732090
1168335,1730989
1168708,1731077
1164351,1716850
1157969,1731843
1147353,1730798
1159043,1730553
977615,1834906
982548,1845055
953017,1921460
955804,1921357
956905,1921315
958292,1921571
955960,1921426
956533,1921617
957360,1921599
956907,1922183
953287,1922558
955307,1923428
955976,1923027
955501,1922191
953162,1922293
957125,1921901
955150,1921866
956503,1921947
959052,1916359
953739,1916403
958536,1916526
957616,1917603
956645,1917334
957897,1918352
953316,1917968
953322,1920425
955754,1918778
956374,1918419
955304,1918217
955836,1918513
958496,1918193
959013,1918001
958658,1918761
956162,1918929
958099,1918947
957113,1919398
957772,1919745
957347,1919955
955618,1920121
957421,1919708
957148,1919694
958076,1920950
954798,1920743
956243,1920568
959068,1920548
957147,1920381
955563,1919097
957229,1919198
955735,1919171
956417,1919059
956061,1919065
956850,1919250
961547,1916492
962367,1917534
959369,1917053
959862,1916372
961093,1916441
960666,1916392
960147,1916408
959535,1920194
960201,1919708
959565,1919653
960042,1921905
959851,1921572
959916,1919500
961105,1918473
964796,1935970
966092,1935947
967148,1935858
967624,1937488
967171,1937244
968387,1938361
966914,1940143
968634,1938619
967816,1938179
968216,1940484
968543,1937924
967100,1937899
967503,1938033
967965,1936608
969361,1936869
967892,1936794
969778,1937557
968558,1937853
968279,1937669
970459,1938639
970013,1939078
969661,1938481
969220,1938205
969390,1938291
969887,1937209
967228,1936947
965364,1927976
968892,1930018
967775,1931237
966389,1932557
965715,1932604
968403,1934376
965739,1933850
967143,1935041
967143,1934613
965080,1932864
960169,1969491
963465,1970147
960958,1967393
960168,1970529
959602,1971033
960511,1970986
958883,1972479
960763,1971840
963001,1973139
960480,1971544
960148,1971208
960041,1971675
949145,1932953
949016,1933115
948878,1933298
948798,1933816
948491,1933890
948081,1934520
948663,1933572
951995,1930278
952296,1931439
951771,1931150
950810,1932701
951413,1932578
952530,1933066
952169,1932895
953680,1933819
951315,1933769
951947,1933913
951145,1932361
937572,1943017
936157,1943746
936064,1943302
936541,1943216
934440,1945387
934830,1945311
934000,1945445
935420,1945233
936028,1945078
936971,1945159
937783,1941426
938746,1942420
937715,1942626
938622,1942720
939390,1943134
939768,1943326
935998,1942971
939168,1942986
933953,1942960
934474,1942951
936208,1942925
936487,1942888
936757,1942875
934903,1942991
939138,1945459
938786,1946124
939278,1946161
936040,1947317
935946,1947002
938562,1946942
938456,1946562
937858,1947748
939523,1947410
938599,1947413
943821,1939381
946012,1939239
945563,1935884
942045,1939631
942664,1941766
942326,1941156
945201,1940487
943683,1942154
942841,1942229
943018,1942690
943025,1942398
944033,1941871
963513,1888489
962865,1888677
964799,1889125
963561,1889443
960831,1894971
960810,1895485
960987,1896434
961327,1895845
963373,1889513
961130,1898030
961100,1898272
964151,1889286
961065,1988176
960041,1988516
961156,1989638
961463,1994231
961071,1990853
961503,1988965
961123,1988980
960625,1989214
943048,1921843
943894,1922713
944591,1922838
941815,1922912
941964,1924266
942315,1924333
941246,1924557
939858,1924511
940279,1924475
937187,1926438
939023,1926619
936834,1925810
941338,1925707
938036,1925176
937551,1960277
935633,1961753
937187,1960640
935885,1962534
938202,1962651
935600,1962955
935994,1962264
936118,1962001
931784,1962921
933700,1963115
934617,1963799
935112,1963517
933103,1964643
933498,1964394
935897,1966247
935684,1965460
934696,1965538
934913,1965587
934357,1965067
935808,1964749
935109,1964701
953997,1934697
954629,1935524
955735,1936460
954916,1936489
955542,1937339
955935,1939356
955422,1938740
955773,1937873
958596,1940207
955993,1937210
956024,1936773
968733,1953112
969175,1955054
969685,1954358
968984,1954626
967404,1955772
965995,1959296
967045,1960237
968048,1957090
967909,1955554
968424,1955849
973374,1954920
982931,1961472
977394,1961791
982553,1962025
977704,1961885
969424,1956203
970735,1967290
972148,1967822
972786,1969371
972120,1968910
971892,1968445
971614,1962320
971080,1962142
961659,1904212
962857,1905040
962541,1904231
962079,1904331
962823,1906354
962148,1906488
960727,1908898
961030,1908566
961573,1905703
962557,1905557
962124,1905124
933141,1926662
933808,1926675
932757,1927214
933385,1927018
932271,1927600
932365,1927834
936684,1927455
933733,1927327
933229,1927682
932611,1927606
931423,1928523
932192,1930179
936930,1938110
936276,1931734
932650,1931157
938289,1940208
932698,1928242
949251,1928443
950808,1928106
950537,1929432
949657,1928828
949945,1928984
953954,1926538
953580,1927478
952750,1929001
956992,1932717
955460,1932352
954627,1932712
953412,1931339
953289,1928068
968810,1941721
975774,1945899
969692,1946106
975425,1947715
968889,1946414
973596,1948131
972680,1948269
975861,1948398
974541,1948959
970541,1949485
973312,1949681
972239,1951971
973184,1952229
972193,1950114
973895,1949013
973584,1914955
972997,1915131
977847,1926528
972448,1915302
962947,1918898
965330,1924656
965458,1921747
965034,1919274
961801,1921934
963696,1924276
964329,1924768
963098,1924517
960978,1924936
963407,1924985
964814,1925371
966444,1925214
964801,1926761
965368,1925820
966151,1925867
964854,1925108
964360,1925118
939108,1971793
938694,1970843
938771,1971849
938159,1972468
936110,1974140
936503,1979320
942614,1975926
935247,1974569
936076,1973429
1010905,1901869
992942,1916159
998605,1917636
996637,1918596
999251,1916551
996123,1921705
991875,1922278
995326,1920409
995569,1919470
976458,1880502
977121,1890468
975039,1890250
935347,1955085
930786,1958248
935731,1955850
926726,1960871
930358,1959274
921356,1965442
920503,1966103
923026,1961690
927261,1961444
948572,1903605
948577,1903809
959290,1912838
960282,1912952
959186,1913094
961067,1912349
962346,1912068
984566,1928547
974535,1927778
969938,1928895
976596,1933074
983734,1929060
977966,1935264
977681,1935491
978781,1934977
978689,1934375
959946,1975055
963247,1978342
955302,1976467
954602,1980805
960738,1981450
963031,1982147
962066,1981935
960311,1980369
975494,1973403
976484,1977269
966122,1975461
968265,1980298
967932,1979682
967567,1978469
972890,1983198
970370,1983404
972859,1987268
976000,1992664
974175,1988688
973264,1987684
970675,1983894
969582,1981976
1003798,1911984
1012039,1920398
1012559,1921396
1005000,1922237
1010511,1920837
1011906,1921076
962018,2002649
961939,2003406
989784,1966442
992111,1970377
991315,1968735
991471,1968991
997461,1977014
994414,1973166
993179,1971242
992507,1970694
1000674,1979682
1001294,1980305
1000565,1982295
1001320,1979327
1000495,1942184
999189,1943062
999563,1943418
994836,1945853
989296,1946277
984113,1949430
988808,1947073
998625,1944098
1022161,1983646
1022799,1982105
1021720,1984221
1021003,1984870
1019546,1986331
1020201,1985480
1021819,1987377
1022556,1988160
1022152,1987806
1019919,1988119
1019423,1991368
1020137,1988956
1019993,1986594
1040234,1925535
1041575,1924406
1039578,1925917
1038082,1926379
1040640,1925879
1037597,1926790
1038805,1926846
1040190,1928043
1038620,1928706
1038957,1929152
1039805,1928265
1039633,1928111
1038306,1927645
1040254,1927700
1040473,1927297
1040303,1927154
1038382,1927291
1120024,1972666
1120452,1972672
1121671,1972910
1122286,1973001
1122601,1973288
1121431,1973368
1121730,1973689
1122591,1975352
1116119,1988612
1119318,1980177
1121104,1975424
1120971,1974845
1122597,1974740
1122567,1974030
1123008,1973884
1142623,1943535
1142112,1946124
1141780,1948600
1141771,1947406
1142343,1945043
1141541,1949989
1141782,1949170
1141609,1950695
1141995,1951327
1142098,1951059
1141508,1950328
1134157,1901575
1132646,1906394
1097051,2018708
1096423,2021322
1095469,2021600
1096184,2021676
1094462,2021886
1094213,2023423
1095618,2023974
1093418,2023176
1093704,2022772
1094099,2022505
1149502,1937472
1148728,1938485
1143469,1939422
1148478,1939892
1147544,1939129
1028651,1961906
1043322,1978590
1031365,1964049
1042978,1943483
1086808,1909562
1104889,1905580
1093855,1961283
1093403,1960199
1093586,1960399
1116700,1914995
1103263,1932018
983358,2017573
992903,2027709
985384,2020526
1059251,2007449
1062097,2013701
1093593,2027562
1098693,2008333
1097624,2016160
1098772,2009239
1000073,1845342
1000807,1846873
999597,1847110
999945,1846521
1000510,1847961
999137,1848500
999193,1848243
999169,1847718
999390,1847447
999895,1847453
997382,1846425
997969,1845818
998974,1847447
996437,1848489
997938,1847875
993188,1845764
993451,1848167
994402,1847753
995818,1848514
996611,1849483
994292,1848318
993819,1847510
997753,1851054
998970,1851035
999380,1851832
1001084,1851578
999655,1852763
997794,1855269
995753,1860295
998509,1852597
998693,1852250
1038002,1884768
1028417,1886293
1038572,1886082
1038240,1887737
1039097,1887713
1039124,1887435
1038125,1887171
1038647,1887159
1064608,1902674
1062404,1903178
1062307,1902869
1064625,1906219
1062757,1904014
1012732,1805810
1006761,1811176
1006135,1810573
1005606,1812333
1004388,1812069
1025749,1796442
1024788,1797523
1007992,1866639
1006129,1865587
1006572,1865059
1007374,1865243
1006901,1865268
1007738,1865559
993913,1869508
991456,1869815
992616,1871796
999477,1871053
996756,1873158
993628,1873312
995074,1873051
994960,1873990
993728,1881567
994794,1887066
995159,1887955
998994,1879046
993765,1873680
994467,1873577
1026106,1867562
1026475,1867947
1008451,1888333
965792,1853733
966871,1865388
969489,1869029
968987,1869002
969108,1866742
966688,1866920
965426,1869464
967507,1869015
965414,1867152
967496,1870537
967324,1870664
968507,1875406
968022,1870292
967649,1869810
966400,1828806
967173,1828743
959474,1829467
975497,1833510
966602,1830405
976440,1833979
965979,1829665
920257,1802641
919528,1813929
919981,1817604
919763,1817313
919225,1816908
919002,1817344
959221,1863940
962079,1864448
953957,1865439
955903,1865420
954479,1865287
956199,1864808
955383,1865048
956171,1866428
964390,1866530
963776,1870261
956538,1872168
958568,1877676
964502,1871457
963273,1865779
955510,1865944
956038,1865939
906618,1864007
907589,1864634
905599,1864362
906123,1864179
906306,1865303
907572,1865615
912132,1865778
905943,1864894
906710,1864890
